review,rating,date,bank,source
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play Store
why didn't work this app?,1,2025-11-27,CBE,Google Play Store
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play Store
this app very bad 👎,1,2025-11-27,CBE,Google Play Store
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play Store
Good application,4,2025-11-27,CBE,Google Play Store
It is nice app,5,2025-11-26,CBE,Google Play Store
best,5,2025-11-25,CBE,Google Play Store
good app,5,2025-11-25,CBE,Google Play Store
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play Store
nice app...,5,2025-11-25,CBE,Google Play Store
very good banking service and fast service,5,2025-11-24,CBE,Google Play Store
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play Store
good,5,2025-11-24,CBE,Google Play Store
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play Store
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play Store
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play Store
wow,5,2025-11-23,CBE,Google Play Store
nice,5,2025-11-22,CBE,Google Play Store
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play Store
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play Store
excellent,5,2025-11-22,CBE,Google Play Store
ዳጊ,5,2025-11-21,CBE,Google Play Store
absolutely right,5,2025-11-21,CBE,Google Play Store
mid application it's so annoying,3,2025-11-20,CBE,Google Play Store
I used morethan one year,4,2025-11-20,CBE,Google Play Store
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play Store
"It's great app,I love this app",5,2025-11-20,CBE,Google Play Store
Nice,5,2025-11-19,CBE,Google Play Store
suckkkks,1,2025-11-19,CBE,Google Play Store
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play Store
I love you this app,5,2025-11-19,CBE,Google Play Store
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play Store
make life easy,5,2025-11-19,CBE,Google Play Store
securr,5,2025-11-19,CBE,Google Play Store
My most optional bank,5,2025-11-17,CBE,Google Play Store
5 star,5,2025-11-16,CBE,Google Play Store
it is fantastic app.,5,2025-11-16,CBE,Google Play Store
sifen,5,2025-11-16,CBE,Google Play Store
i like this√,4,2025-11-16,CBE,Google Play Store
Ok,3,2025-11-16,CBE,Google Play Store
